,node,eign,closeness,betwness,centrality,community,density
7459,7394,6.227208489708692e-05,0,0,1,0,0.014265611807748836
7460,6244,6.227208489708692e-05,0,0,1,0,0.014265611807748836
7477,5542,2.948641320971854e-06,0,0,1,0,0.014265611807748836
7499,7034,8.046641811292648e-08,0,0,1,0,0.014265611807748836
7517,5840,3.1438032728111843e-06,0,0,1,0,0.014265611807748836
7524,6658,7.5280351523410385e-06,0,0,1,0,0.014265611807748836
7530,7027,1.6099440357688984e-06,0,0,1,0,0.014265611807748836
7534,7201,1.933062535469127e-06,0,0,1,0,0.014265611807748836
7540,5987,9.046675197595027e-06,0,0,1,0,0.014265611807748836
7541,5995,1.5540228154495375e-05,0,0,1,0,0.014265611807748836
7557,6535,2.0614666423539975e-08,0,0,1,0,0.014265611807748836
7607,6869,6.860427331158613e-06,0,0,1,0,0.014265611807748836
361,46,8.388778802682969e-07,0,0,2,0,0.014265611807748836
454,1564,1.1167203415946906e-06,0,0,2,0,0.014265611807748836
933,125,3.226627132545403e-06,0,0,2,0,0.014265611807748836
1630,506,2.8032718322779268e-05,0,0,2,0,0.014265611807748836
1631,267,1.2674060422313523e-06,0,0,2,0,0.014265611807748836
1632,2903,1.2674060422313523e-06,0,0,2,0,0.014265611807748836
1853,6480,5.707325330816553e-06,0,0,2,0,0.014265611807748836
1991,7041,3.528149655098589e-08,0,0,2,0,0.014265611807748836
2089,4193,1.2973882736804323e-05,0,0,2,0,0.014265611807748836
2090,3634,3.1338604067868396e-05,0,0,2,0,0.014265611807748836
2321,434,7.430938616561577e-06,0,0,2,0,0.014265611807748836
2832,627,9.025196600437204e-06,0,0,2,0,0.014265611807748836
2845,3851,3.018771866127532e-05,0,0,2,0,0.014265611807748836
2910,5741,3.1043118457570558e-06,0,0,2,0,0.014265611807748836
3031,636,1.3918878090567944e-05,0,0,2,0,0.014265611807748836
3076,1766,0.0023806173409531284,0,0,2,0,0.014265611807748836
3287,727,8.145534401261548e-06,0,0,2,0,0.014265611807748836
3334,6342,1.9773204912458338e-05,0,0,2,0,0.014265611807748836
3432,5801,4.224595230568806e-06,0,0,2,0,0.014265611807748836
3547,3135,1.0321698729179188e-05,0,0,2,0,0.014265611807748836
3551,7242,1.1718794968264903e-05,0,0,2,0,0.014265611807748836
3694,6659,8.430539355946767e-06,0,0,2,0,0.014265611807748836
3780,3000,1.2677190046400453e-06,0,0,2,0,0.014265611807748836
4157,2291,3.3769362284038525e-06,0,0,2,0,0.014265611807748836
4281,1758,3.384736242611202e-06,0,0,2,0,0.014265611807748836
4323,4030,0.00012189591390801864,0,0,2,0,0.014265611807748836
4343,6574,5.139022597398549e-06,0,0,2,0,0.014265611807748836
4416,6229,6.091473238820093e-06,0,0,2,0,0.014265611807748836
4494,1479,0.002419248302959685,0,0,2,0,0.014265611807748836
4595,1530,4.036642813541928e-06,0,0,2,0,0.014265611807748836
4717,1385,3.967117260832703e-07,0,0,2,0,0.014265611807748836
4718,4063,6.189262437741584e-06,0,0,2,0,0.014265611807748836
4810,1451,0.00012934971721089244,0,0,2,0,0.014265611807748836
4811,6183,6.8616792393929924e-06,0,0,2,0,0.014265611807748836
4848,4237,3.2859384245808896e-05,0,0,2,0,0.014265611807748836
4874,6251,3.298808734393334e-06,0,0,2,0,0.014265611807748836
5015,2235,5.8828426864999534e-06,0,0,2,0,0.014265611807748836
5020,1589,9.013642152329731e-07,0,0,2,0,0.014265611807748836
5059,3164,6.674983859756412e-06,0,0,2,0,0.014265611807748836
5088,2721,3.3645846591801274e-05,0,0,2,0,0.014265611807748836
5413,4816,1.6167154461235605e-06,0,0,2,0,0.014265611807748836
5415,7189,5.954306328322415e-07,0,0,2,0,0.014265611807748836
5582,5247,8.670241059168735e-06,0,0,2,0,0.014265611807748836
5595,1972,6.3337320158685355e-06,0,0,2,0,0.014265611807748836
5651,7193,3.0178184804279113e-05,0,0,2,0,0.014265611807748836
